repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts,unique_contributors_for_metrics,top3_share,top5_share,top10_share,participation_rate
core,2016-05-30,2026-05-29,0.5,no,no,103939,91,55,0.10989,0.252747,0.362637,0.505495,10,37,79,50,0.113924,0.265823,0.367089,0.493671,11,35,4,3,0.5,1.0,1.0,1.0,1.0,3.0,8,7,0.25,0.5,0.75,1.0,3.0,6.0,True,91,91,5238,0.1985337555807354,0.2836805252912635,0.3834316317537794,0.010500190912562046
bootstrap,2016-05-30,2026-05-29,0.5,no,no,8223,229,64,0.366812,0.558952,0.641921,0.742358,3,19,137,57,0.313869,0.452555,0.525547,0.642336,5,30,21,13,0.238095,0.47619,0.619048,0.857143,4.0,9.0,71,10,0.507042,0.802817,0.915493,1.0,1.0,3.0,True,229,229,817,0.4739957716701903,0.5749119097956307,0.7066948555320648,0.07833537331701346
dotfiles,2016-05-30,2026-05-29,0.5,no,no,87,7,4,0.571429,0.857143,1.0,1.0,1,3,5,4,0.4,0.8,1.0,1.0,2,3,0,0,,,,,,,2,1,1.0,1.0,1.0,1.0,1.0,1.0,True,7,7,29,0.6781609195402298,0.7241379310344828,0.7816091954022989,0.13793103448275862
Chart.js,2016-05-30,2026-05-29,0.5,no,no,2657,58,24,0.189655,0.396552,0.568966,0.758621,4,13,47,24,0.12766,0.361702,0.489362,0.702128,6,15,3,2,0.666667,1.0,1.0,1.0,1.0,2.0,8,3,0.5,1.0,1.0,1.0,1.0,2.0,True,58,58,407,0.5024837600305694,0.6064195643867023,0.7432174245319068,0.05896805896805897
WordPress,2016-05-30,2026-05-29,0.5,no,no,18261,55,14,0.327273,0.6,0.763636,0.927273,3,6,55,14,0.327273,0.6,0.763636,0.927273,3,6,0,0,,,,,,,0,0,,,,,,,True,55,55,90,0.4498658342916598,0.5421389847215377,0.668145227534089,0.15555555555555556
react-native,2016-05-30,2026-05-29,0.5,no,no,34240,409,121,0.102426,0.221024,0.315364,0.493261,11,47,370,108,0.108434,0.222892,0.316265,0.506024,10,42,22,15,0.272727,0.454545,0.545455,0.772727,4.0,11.0,17,14,0.176471,0.352941,0.470588,0.764706,6.0,11.0,True,409,409,3410,0.0920074893218653,0.1401614885027207,0.2441050845474226,0.035483870967741936
pdf.js,2016-05-30,2026-05-29,0.5,no,no,7896,68,25,0.426471,0.573529,0.661765,0.779412,2,12,58,23,0.396552,0.568966,0.655172,0.775862,2,12,3,2,0.666667,1.0,1.0,1.0,1.0,2.0,7,4,0.571429,0.857143,1.0,1.0,1.0,3.0,True,68,68,270,0.8896153846153846,0.916025641025641,0.945,0.09259259259259259
DefinitelyTyped,2016-05-30,2026-05-29,0.5,no,no,59983,291,104,0.193103,0.406897,0.489655,0.589655,6,46,254,97,0.169291,0.389764,0.464567,0.574803,7,47,20,9,0.315789,0.684211,0.789474,1.0,2.0,6.0,17,10,0.411765,0.588235,0.705882,1.0,2.0,7.0,True,291,291,18991,0.0511251614657692,0.0741552790808348,0.1119722618804813,0.0054762782370596595
Python,2016-05-30,2026-05-29,0.5,no,no,35458,206,69,0.106796,0.31068,0.456311,0.640777,6,28,159,62,0.113208,0.295597,0.433962,0.616352,7,31,32,11,0.3125,0.625,0.78125,0.96875,2.0,6.0,15,11,0.2,0.466667,0.6,0.933333,4.0,8.0,True,206,206,3673,0.1651923239973999,0.2075573015289828,0.2914959161179097,0.018785733732643615
grpc,2016-05-30,2026-05-29,0.5,no,no,30967,275,71,0.130909,0.301818,0.436364,0.632727,7,22,256,64,0.132812,0.3125,0.445312,0.644531,7,21,7,7,0.142857,0.428571,0.714286,1.0,4.0,6.0,12,9,0.166667,0.5,0.666667,1.0,3.0,7.0,True,275,275,1032,0.2789461745357918,0.3745098674616805,0.5151171457273405,0.0687984496124031
