repo,category,n_commits,entropy_norm,awr,n_contributors
nixpkgs,legal_attribution,5,0.3915074910131681,0.08196721311475409,4
node,onboarding_process,389,0.9594673099397558,1.0,160
node,governance_policy,53,0.7903135322691398,0.5245901639344263,19
node,change_tracking,277,0.9749084343105756,1.0,23
node,legal_attribution,138,0.7070548172230079,0.639344262295082,35
numpy,onboarding_process,48,0.6372518120738837,0.3114754098360656,31
numpy,governance_policy,2,0.1686130986895011,0.03278688524590164,2
numpy,change_tracking,0,,,0
numpy,legal_attribution,5,0.3915074910131681,0.08196721311475409,3
odoo,onboarding_process,11,0.5833054849228712,0.18032786885245902,9
odoo,governance_policy,5,0.3915074910131681,0.08196721311475409,4
odoo,change_tracking,0,,,0
odoo,legal_attribution,0,,,0
ohmyzsh,onboarding_process,51,0.7597830173617255,0.4426229508196721,26
ohmyzsh,governance_policy,4,0.3372261973790022,0.06557377049180328,2
ohmyzsh,change_tracking,0,,,0
ohmyzsh,legal_attribution,2,0.1686130986895011,0.03278688524590164,2
opencv,onboarding_process,13,0.5363301063864917,0.16393442622950818,10
opencv,governance_policy,1,0.0,0.01639344262295082,1
opencv,change_tracking,0,,,0
opencv,legal_attribution,4,0.3372261973790022,0.06557377049180328,2
openssl,onboarding_process,46,0.7690926818302076,0.4262295081967213,26
openssl,governance_policy,4,0.3372261973790022,0.06557377049180328,4
openssl,change_tracking,0,,,0
openssl,legal_attribution,5,0.25661701206156723,0.04918032786885246,4
pandas,onboarding_process,38,0.775027259490933,0.4262295081967213,31
pandas,governance_policy,2,0.1686130986895011,0.03278688524590164,2
pandas,change_tracking,2,0.1686130986895011,0.03278688524590164,2
pandas,legal_attribution,6,0.4358585372427558,0.09836065573770492,4
pdf.js,onboarding_process,25,0.7290587904456955,0.3442622950819672,9
pdf.js,governance_policy,2,0.0,0.01639344262295082,1
pdf.js,change_tracking,0,,,0
pdf.js,legal_attribution,2,0.1686130986895011,0.03278688524590164,1
protobuf,onboarding_process,24,0.6606760021620908,0.26229508196721313,15
protobuf,governance_policy,4,0.1367921184640611,0.03278688524590164,3
protobuf,change_tracking,0,,,0
protobuf,legal_attribution,5,0.25661701206156723,0.04918032786885246,3
qmk_firmware,onboarding_process,42,0.7586286975191217,0.39344262295081966,8
qmk_firmware,governance_policy,2,0.1686130986895011,0.03278688524590164,2
qmk_firmware,change_tracking,0,,,0
qmk_firmware,legal_attribution,1,0.0,0.01639344262295082,1
rails,onboarding_process,47,0.7001014213605279,0.36065573770491804,24
rails,governance_policy,30,0.5777828290174147,0.21311475409836064,10
rails,change_tracking,0,,,0
rails,legal_attribution,0,,,0
react,onboarding_process,24,0.6553725054578506,0.2786885245901639,19
react,governance_policy,9,0.27951713794597144,0.06557377049180328,8
react,change_tracking,34,0.5802252862162816,0.21311475409836064,17
react,legal_attribution,5,0.3915074910131681,0.08196721311475409,5
react-native,onboarding_process,28,0.7292285446913029,0.36065573770491804,26
react-native,governance_policy,3,0.2672454385532547,0.04918032786885246,3
react-native,change_tracking,188,0.8680286815671929,0.7704918032786885,34
react-native,legal_attribution,3,0.2672454385532547,0.04918032786885246,3
react-router,onboarding_process,33,0.5694292017954867,0.22950819672131148,20
react-router,governance_policy,18,0.43701028701138533,0.13114754098360656,7
react-router,change_tracking,123,0.7050775352577392,0.3770491803278688,13
react-router,legal_attribution,424,0.8717006373213638,0.7704918032786885,390
redis,onboarding_process,61,0.6593464020399391,0.4098360655737705,28
redis,governance_policy,6,0.4358585372427558,0.09836065573770492,6
redis,change_tracking,6,0.37965417101292215,0.08196721311475409,5
redis,legal_attribution,7,0.42518164147521226,0.09836065573770492,5
reveal.js,onboarding_process,23,0.5903815370911248,0.22950819672131148,5
reveal.js,governance_policy,0,,,0
reveal.js,change_tracking,0,,,0
reveal.js,legal_attribution,10,0.4926753502268687,0.13114754098360656,5
rust,onboarding_process,669,0.9180005937489306,0.9836065573770492,194
rust,governance_policy,66,0.1867149035033275,0.09836065573770492,34
rust,change_tracking,1229,0.9731671582673042,1.0,335
rust,legal_attribution,0,,,0
