repo,n_issues_sampled,median_issue_close_hours,n_prs_sampled,median_pr_merge_hours,issues_total_closed,prs_total_merged,entropy_norm,active_window_rate,unique_contributors_for_metrics,log_contributors,log_issue_close,log_pr_merge
scrapy,100,7675.441388888888,100,16.564166666666665,2880,2635,0.7107246215028619,0.4098360655737705,165,5.111987788356544,8.94591135793516,2.8658608417609552
numpy,100,156.44986111111112,100,3.200277777777778,11887,14492,0.6783294223103542,0.3770491803278688,773,6.651571873589727,5.059107065432393,1.4351506606684679
Ghost,100,709.2798611111111,100,1.3611111111111112,7260,17740,0.7971271222100823,0.5081967213114754,235,5.4638318050256105,6.565659062949576,0.8591323180342064
ansible,100,234.655,100,25.77319444444444,32877,39986,0.6275124848977414,0.2295081967213114,498,6.212606095751519,5.462368871052558,3.2874011796788523
bitcoin,100,966.114861111111,100,217.7863888888889,8803,16660,0.8734936734862313,0.6721311475409836,377,5.934894195619588,6.87431726927956,5.388095860609578
airflow,100,766.2970833333334,100,20.057777777777776,13670,38435,0.9517714861438265,1.0,1389,7.237059026124737,6.642874057968697,3.0472699825143104
FreeRDP,100,580.5733333333333,100,1.0543055555555556,4927,6529,0.7307802444542505,0.4098360655737705,179,5.19295685089021,6.365737074640861,0.7199378616672234
todomvc,100,82335.63083333333,100,79.01208333333334,779,761,0.1548367060935873,0.0327868852459016,8,2.1972245773362196,11.318571376747288,4.382177664934904
nixpkgs,100,4220.561388888889,100,9.747222222222222,47681,413920,0.8296127940201382,0.7049180327868853,8008,8.988321188323683,8.347960335964947,2.374647323250357
markdown-here,100,727.5941666666666,27,0.0038888888888888,334,27,0.3106478820952459,0.0655737704918032,2,1.0986122886681098,6.5911168783204355,0.0038813467079723443
flutter,100,415.3697222222222,100,6.305555555555555,102134,48953,0.9204395012412848,0.8688524590163934,978,6.88653164253051,6.031573620893964,1.9886350937216546
go-ethereum,100,222.12916666666663,100,95.13263888888888,8510,9185,0.8289409144156485,0.5409836065573771,416,6.0330862217988015,5.407750826495865,4.565728892953301
opencv,100,1383.2211111111112,100,43.08805555555555,9046,13933,0.5701787646017642,0.1967213114754098,578,6.361302477572996,7.232892885780487,3.7861888966861907
socket.io,100,3555.839861111111,100,94.73125,3500,449,0.832709763456306,0.7213114754098361,104,4.653960350157523,8.17662775016218,4.561544786430727
shadowsocks-android,100,397.2223611111111,100,33.04222222222222,2458,258,0.459551722133398,0.1147540983606557,8,2.1972245773362196,5.987010545530862,3.527601584248331
spring-framework,100,48.60680555555555,100,7.5368055555555555,27917,931,0.7034303892605933,0.3278688524590163,556,6.322565239927284,3.9041280330999797,2.1443868810972946
erpnext,100,40670.1575,100,3.915416666666667,16661,31325,0.589591190282785,0.2786885245901639,280,5.638354669333745,10.613274459278173,1.5923765245058057
ohmyzsh,100,164.04958333333332,100,20.03944444444444,4915,3613,0.7702421959925077,0.4590163934426229,597,6.393590753950631,5.106245933808486,3.04639898278917
d3,100,2.74125,100,3.870138888888889,2239,495,0.5461211772250886,0.1639344262295081,10,2.3978952727983707,1.3194197801847716,1.5831224559668642
Rocket.Chat,100,426.9744444444444,100,21.83861111111111,14600,16624,0.8706569291712621,0.7213114754098361,169,5.135798437050262,6.059063484557177,3.1284525734428263
azure-quickstart-templates,100,192.17916666666667,100,58.76402777777778,599,9940,0.3372261973790022,0.0655737704918032,351,5.863631175598097,5.263618082975755,4.090403937779872
moby,100,3542.376944444444,100,11.140555555555556,20270,22853,0.8275082829345493,0.5573770491803278,303,5.717027701406222,8.172835490525664,2.4965515469858963
etcd,100,637.7343055555556,100,21.11638888888889,7103,10524,0.8652303382562401,0.6885245901639344,444,6.09807428216624,6.459488570657236,3.0963189123728565
homebrew-cask,100,5.749305555555555,100,0.6422222222222222,6882,233281,0.7117241539072521,0.360655737704918,3456,8.148156439921625,1.9094396189334242,0.49605033818383637
html5-boilerplate,100,3.561111111111111,100,155.58583333333334,1359,844,0.7409283209082461,0.3934426229508196,18,2.9444389791664403,1.5175662585622178,5.05360431543734
youtube-dl,100,36.55416666666666,100,195.58,23203,1646,0.5631586708702783,0.2786885245901639,100,4.61512051684126,3.6257843352144183,5.2810694731384835
