repo,n_newcomers,n_retained,retention_rate,unique_contributors_for_metrics,archetype,entropy_norm,active_window_rate,health_docs_touch_bus50,reactive_rate,log_contributors,log_bus50
jenkins,215,54,0.25116279069767444,173,Occasional,0.8082319631819973,0.5245901639344263,3,0.8644,5.159055299214529,1.3862943611198906
jquery,19,1,0.05263157894736842,20,Occasional,0.6838982637738295,0.3114754098360656,2,0.0769,3.044522437723423,1.0986122886681098
juice-shop,79,24,0.3037974683544304,58,Consistent,0.8902799552794232,0.819672131147541,1,0.1071,4.07753744390572,0.6931471805599453
kafka,689,276,0.4005805515239477,561,Occasional,0.7821890710999863,0.4918032786885246,5,1.0,6.331501849893691,1.791759469228055
kubernetes,1721,726,0.42184776292852993,2019,Occasional,0.6703075505865258,0.2786885245901639,9,0.1429,7.61085279039525,2.302585092994046
lantern,6,6,1.0,4,Sparse,0.3437169798450883,0.081967213114754,1,0.0312,1.6094379124341003,0.6931471805599453
laravel,168,32,0.19047619047619047,142,Consistent,0.950281470791576,0.9672131147540984,2,0.0652,4.962844630259907,1.0986122886681098
markdown-here,2,0,0.0,2,Sparse,0.3106478820952459,0.0655737704918032,1,0.0,1.0986122886681098,0.6931471805599453
material-ui,1275,201,0.15764705882352942,790,Consistent,0.9779650964968668,1.0,3,0.8669,6.673297967767654,1.3862943611198906
metasploit-framework,388,144,0.3711340206185567,318,Occasional,0.668810014030381,0.4098360655737705,4,0.0886,5.765191102784844,1.6094379124341003
minimal-mistakes,73,3,0.0410958904109589,55,Occasional,0.7105378481524905,0.4754098360655737,2,0.1961,4.02535169073515,1.0986122886681098
moby,272,58,0.21323529411764705,303,Occasional,0.8275082829345493,0.5573770491803278,2,0.0,5.717027701406222,1.0986122886681098
mybatis-3,96,15,0.15625,88,Sparse,0.5479925707408786,0.180327868852459,1,0.0,4.48863636973214,0.6931471805599453
netty,255,57,0.2235294117647059,220,Occasional,0.6418406051147727,0.2950819672131147,2,0.5526,5.3981627015177525,1.0986122886681098
nixpkgs,8262,4401,0.5326797385620915,8008,Consistent,0.8296127940201382,0.7049180327868853,14,0.1091,8.988321188323683,2.70805020110221
node,1089,320,0.2938475665748393,991,Consistent,0.962780697231144,1.0,6,1.0,6.899723107284872,1.9459101490553132
numpy,916,229,0.25,773,Occasional,0.6783294223103542,0.3770491803278688,8,0.1636,6.651571873589727,2.1972245773362196
odoo,1337,862,0.6447270007479432,1496,Sparse,0.6137894365825559,0.2131147540983606,4,1.0,7.311218384419629,1.6094379124341003
ohmyzsh,776,66,0.08505154639175258,597,Occasional,0.7702421959925077,0.4590163934426229,5,0.5273,6.393590753950631,1.791759469228055
opencv,670,150,0.22388059701492538,578,Sparse,0.5701787646017642,0.1967213114754098,3,0.1176,6.361302477572996,1.3862943611198906
openssl,666,202,0.3033033033033033,689,Occasional,0.7836509650303464,0.4590163934426229,6,0.9804,6.536691597591305,1.9459101490553132
pandas,1540,348,0.22597402597402597,834,Occasional,0.8051040409332259,0.4918032786885246,13,1.0,6.727431724850855,2.6390573296152584
pdf.js,101,19,0.18811881188118812,98,Occasional,0.7260913124448205,0.360655737704918,2,0.069,4.59511985013459,1.0986122886681098
protobuf,592,159,0.2685810810810811,551,Occasional,0.6870475799638535,0.3114754098360656,4,0.2432,6.313548046277095,1.6094379124341003
qmk_firmware,1705,530,0.31085043988269795,1109,Occasional,0.7600122078091428,0.3934426229508196,1,0.3488,7.01211529430638,0.6931471805599453
rails,1364,347,0.25439882697947214,1480,Occasional,0.7079516285291358,0.360655737704918,11,0.4038,7.300472814267799,2.4849066497880004
react,394,78,0.19796954314720813,323,Occasional,0.7677425728022537,0.4754098360655737,7,0.7164,5.780743515792329,2.0794415416798357
react-native,1197,402,0.3358395989974937,1233,Consistent,0.9024702583231397,0.8852459016393442,7,0.9095,7.1180162044653335,2.0794415416798357
react-router,531,62,0.1167608286252354,380,Consistent,0.894745948419439,0.8360655737704918,109,0.6091,5.942799375126701,4.700480365792417
redis,423,132,0.3120567375886525,335,Occasional,0.6867997988061347,0.4590163934426229,4,0.5441,5.817111159963204,1.6094379124341003
reveal.js,55,2,0.03636363636363636,50,Sparse,0.593864642523777,0.2295081967213114,1,0.125,3.9318256327243257,0.6931471805599453
rust,3677,1512,0.41120478651074244,3638,Consistent,0.9753631056026502,1.0,19,0.0976,8.19946419761216,2.995732273553991
scrapy,232,41,0.17672413793103448,165,Occasional,0.7107246215028619,0.4098360655737705,2,0.5882,5.111987788356544,1.0986122886681098
shadowsocks-android,8,2,0.25,8,Sparse,0.459551722133398,0.1147540983606557,1,0.2222,2.1972245773362196,0.6931471805599453
shadowsocks-windows,7,0,0.0,10,Sparse,0.2529196480342516,0.0491803278688524,1,0.0,2.3978952727983707,0.6931471805599453
