repo,longest_dormancy_gap_months,h1_doc_commits,h2_doc_commits,h1_entropy,h1_awr,went_dormant_h2,h2_decline_ratio,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50
ionic-framework,3,96,202,0.8975437840804371,0.8333333333333334,0,1.092783505154639,0.9131888088310316,0.8852459016393442,97,14,2,340,4.584967478670572,5.831882477283517,0.14432989690721648,1.0986122886681098
java-design-patterns,9,31,11,0.6856445926179265,0.43333333333333335,0,-0.625,0.6872714835628879,0.3442622950819672,122,25,5,462,4.812184355372417,6.137727054086234,0.20491803278688525,1.791759469228055
jekyll,2,252,136,0.8933935871855915,0.9333333333333333,0,-0.45849802371541504,0.889046367043461,0.8852459016393442,126,13,1,388,4.844187086458591,5.963579343618446,0.10317460317460317,0.6931471805599453
jenkins,4,32,27,0.7721610440934473,0.5333333333333333,0,-0.15151515151515152,0.8082319631819973,0.5245901639344263,173,19,3,59,5.159055299214529,4.0943445622221,0.10982658959537572,1.3862943611198906
jquery,6,10,16,0.6362334831107442,0.3,0,0.5454545454545454,0.6838982637738295,0.3114754098360656,20,4,2,26,3.044522437723423,3.295836866004329,0.2,1.0986122886681098
juice-shop,2,84,56,0.869915788757795,0.8333333333333334,0,-0.32941176470588235,0.8902799552794232,0.819672131147541,58,9,1,140,4.07753744390572,4.948759890378168,0.15517241379310345,0.6931471805599453
kafka,6,29,40,0.7519836666614237,0.5,0,0.36666666666666664,0.7821890710999863,0.4918032786885246,561,34,5,69,6.331501849893691,4.248495242049359,0.06060606060606061,1.791759469228055
kubernetes,8,13,8,0.6482380084145684,0.3333333333333333,0,-0.35714285714285715,0.6703075505865258,0.2786885245901639,2019,19,9,21,7.61085279039525,3.091042453358316,0.009410599306587419,2.302585092994046
lantern,55,0,32,,0.0,0,32.0,0.3437169798450883,0.081967213114754,4,4,1,32,1.6094379124341003,3.4965075614664802,1.0,0.6931471805599453
laravel,1,104,80,0.9410246262940408,0.9666666666666667,0,-0.22857142857142856,0.950281470791576,0.9672131147540984,142,17,2,184,4.962844630259907,5.220355825078324,0.11971830985915492,1.0986122886681098
markdown-here,31,1,6,0.0,0.03333333333333333,0,2.5,0.3106478820952459,0.0655737704918032,2,2,1,7,1.0986122886681098,2.0794415416798357,1.0,0.6931471805599453
material-ui,0,295,288,0.9775554724161598,1.0,0,-0.02364864864864865,0.9779650964968668,1.0,790,66,3,586,6.673297967767654,6.375024819828097,0.08354430379746836,1.3862943611198906
metasploit-framework,5,48,31,0.6159902582704453,0.5,0,-0.3469387755102041,0.668810014030381,0.4098360655737705,318,17,4,79,5.765191102784844,4.382026634673881,0.05345911949685535,1.6094379124341003
minimal-mistakes,20,121,83,0.7664152236721479,0.5666666666666667,0,-0.3114754098360656,0.7105378481524905,0.4754098360655737,55,10,2,204,4.02535169073515,5.3230099791384085,0.18181818181818182,1.0986122886681098
moby,7,20,46,0.6081618616991217,0.3,0,1.2380952380952381,0.8275082829345493,0.5573770491803278,303,19,2,66,5.717027701406222,4.204692619390966,0.0627062706270627,1.0986122886681098
mybatis-3,10,7,9,0.4556707159173473,0.16666666666666666,0,0.25,0.5479925707408786,0.180327868852459,88,5,1,16,4.48863636973214,2.833213344056216,0.056818181818181816,0.6931471805599453
netty,13,31,7,0.6808337152529793,0.43333333333333335,0,-0.75,0.6418406051147727,0.2950819672131147,220,13,2,38,5.3981627015177525,3.6635616461296463,0.05909090909090909,1.0986122886681098
nixpkgs,4,52,113,0.7612609408499332,0.5333333333333333,0,1.150943396226415,0.8296127940201382,0.7049180327868853,8008,78,14,165,8.988321188323683,5.111987788356544,0.00974025974025974,2.70805020110221
node,0,496,338,0.9516131556144772,1.0,0,-0.317907444668008,0.962780697231144,1.0,991,177,6,988,6.899723107284872,6.8966943316227125,0.17860746720484358,1.9459101490553132
numpy,7,44,11,0.6831990733031974,0.4666666666666667,0,-0.7333333333333333,0.6783294223103542,0.3770491803278688,773,35,8,55,6.651571873589727,4.02535169073515,0.045278137128072445,2.1972245773362196
odoo,13,10,5,0.595474473692643,0.26666666666666666,0,-0.45454545454545453,0.6137894365825559,0.2131147540983606,1496,11,4,15,7.311218384419629,2.772588722239781,0.007352941176470588,1.6094379124341003
ohmyzsh,5,28,27,0.735090899036405,0.4666666666666667,0,-0.034482758620689655,0.7702421959925077,0.4590163934426229,597,26,5,55,6.393590753950631,4.02535169073515,0.04355108877721943,1.791759469228055
opencv,12,10,7,0.4324384360202381,0.16666666666666666,0,-0.2727272727272727,0.5701787646017642,0.1967213114754098,578,10,3,17,6.361302477572996,2.8903717578961645,0.01730103806228374,1.3862943611198906
openssl,7,23,28,0.6670924065216519,0.36666666666666664,0,0.20833333333333334,0.7836509650303464,0.4590163934426229,689,29,6,51,6.536691597591305,3.9512437185814275,0.0420899854862119,1.9459101490553132
pandas,4,31,14,0.8238278243545349,0.6,0,-0.53125,0.8051040409332259,0.4918032786885246,834,35,13,45,6.727431724850855,3.828641396489095,0.04196642685851319,2.6390573296152584
