repo,n_established_doc_contributors,doc_contributor_loss_rate_all,n_top_established,doc_contributor_loss_rate_top,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,h1_bus50,h1_n_doc_contributors,h1_doc_commits,log_h1_bus50,log_h1_commits
react,20,0.95,20,0.95,0.7677425728022537,0.4754098360655737,323,40,7,67,5.780743515792329,4.219507705176107,0.1238390092879257,2.0794415416798357,2,20,37,1.0986122886681098,3.6375861597263857
react-native,30,0.7,8,0.125,0.9024702583231397,0.8852459016393442,1233,54,7,221,7.1180162044653335,5.402677381872279,0.0437956204379562,2.0794415416798357,6,30,51,1.9459101490553132,3.9512437185814275
react-router,162,0.9567901234567902,162,0.9567901234567902,0.894745948419439,0.8360655737704918,380,395,109,747,5.942799375126701,6.617402977974478,1.0394736842105263,4.700480365792417,69,162,179,4.248495242049359,5.19295685089021
redis,19,0.8421052631578947,5,0.4,0.6867997988061347,0.4590163934426229,335,30,4,68,5.817111159963204,4.23410650459726,0.0895522388059701,1.6094379124341005,6,19,26,1.9459101490553132,3.295836866004329
reveal.js,5,0.8,5,0.8,0.593864642523777,0.2295081967213114,50,1,1,24,3.9318256327243257,3.218875824868201,0.02,0.6931471805599453,1,5,20,0.6931471805599453,3.044522437723423
rust,308,0.8668831168831169,100,0.64,0.9753631056026502,1.0,3638,426,19,1772,8.19946419761216,7.480428306074208,0.1170973062122045,2.995732273553991,22,308,1036,3.1354942159291497,6.9440872082295275
scrapy,13,0.9230769230769232,4,0.75,0.7107246215028619,0.4098360655737705,165,13,2,51,5.111987788356544,3.951243718581427,0.0787878787878787,1.0986122886681098,4,13,31,1.6094379124341003,3.4657359027997265
shadowsocks-windows,3,1.0,1,,0.2529196480342516,0.0491803278688524,10,2,1,4,2.3978952727983707,1.6094379124341005,0.2,0.6931471805599453,1,3,4,0.6931471805599453,1.6094379124341003
socket.io,21,0.9523809523809524,21,0.9523809523809524,0.832709763456306,0.7213114754098361,104,27,1,349,4.653960350157523,5.857933154483459,0.2596153846153846,0.6931471805599453,1,21,252,0.6931471805599453,5.53338948872752
spark,6,0.5,2,,0.7148989017830899,0.3770491803278688,1033,14,3,37,6.9411900550683745,3.6375861597263857,0.0135527589545014,1.3862943611198906,1,6,16,0.6931471805599453,2.833213344056216
spring-boot,19,0.8421052631578947,7,0.5714285714285714,0.7307287652409399,0.4098360655737705,575,27,5,59,6.3561076606958915,4.0943445622221,0.0469565217391304,1.791759469228055,4,19,37,1.6094379124341003,3.6375861597263857
spring-framework,9,0.6666666666666666,3,0.3333333333333333,0.7034303892605933,0.3278688524590163,556,17,5,35,6.322565239927284,3.58351893845611,0.0305755395683453,1.791759469228055,3,9,14,1.3862943611198906,2.70805020110221
symfony,34,0.8823529411764706,9,0.5555555555555556,0.9228714908654256,0.9836065573770492,1599,23,1,173,7.377758908227872,5.159055299214529,0.014383989993746,0.6931471805599453,1,34,105,0.6931471805599453,4.663439094112067
terraform,34,0.6764705882352942,10,0.4,0.9190458265163766,0.918032786885246,377,55,4,562,5.934894195619588,6.333279628139691,0.1458885941644562,1.6094379124341005,3,34,290,1.3862943611198906,5.673323267171493
three.js,18,0.7777777777777778,6,0.3333333333333333,0.7815263323291296,0.4754098360655737,599,23,3,64,6.396929655216146,4.174387269895637,0.0383973288814691,1.3862943611198906,3,18,47,1.3862943611198906,3.871201010907891
vscode,20,1.0,7,1.0,0.7114677386865149,0.3442622950819672,1325,25,8,34,7.189922170745808,3.5553480614894135,0.0188679245283018,2.1972245773362196,7,20,29,2.0794415416798357,3.4011973816621555
youtube-dl,8,0.875,2,,0.5631586708702783,0.2786885245901639,100,9,1,104,4.61512051684126,4.653960350157523,0.09,0.6931471805599453,1,8,100,0.6931471805599453,4.61512051684126
zxing,6,0.6666666666666666,2,,0.5952873742016478,0.2131147540983606,25,8,2,18,3.258096538021482,2.9444389791664403,0.32,1.0986122886681098,2,6,9,1.0986122886681098,2.302585092994046
