repo,year,entropy_norm,active_month_rate,health_file_commits,valid,archetype
ionic-framework,9,0.83778,0.769231,35,True,Consistent
ionic-framework,10,0.901961,0.923077,44,True,Consistent
imgui,1,0.731056,0.615385,18,True,Occasional
imgui,2,0.771912,0.923077,150,True,Consistent
imgui,3,0.531751,0.615385,105,True,Sparse
imgui,4,0.405357,0.230769,4,True,Sparse
imgui,6,0.405357,0.230769,4,True,Sparse
imgui,8,0.219238,0.153846,4,True,Sparse
TypeScript,1,0.848692,0.769231,28,True,Consistent
TypeScript,2,0.710616,0.769231,34,True,Occasional
TypeScript,3,0.832451,0.846154,29,True,Consistent
TypeScript,4,0.708974,0.538462,13,True,Occasional
TypeScript,5,0.865524,0.769231,16,True,Consistent
TypeScript,6,0.675595,0.461538,8,True,Occasional
TypeScript,7,0.582536,0.384615,8,True,Sparse
TypeScript,8,0.608476,0.384615,6,True,Sparse
TypeScript,10,0.616423,0.384615,9,True,Sparse
scikit-learn,1,0.887605,0.923077,36,True,Consistent
scikit-learn,2,0.772465,0.615385,16,True,Occasional
scikit-learn,3,0.821963,0.769231,21,True,Consistent
scikit-learn,4,0.785215,0.615385,16,True,Occasional
scikit-learn,5,0.818994,0.692308,16,True,Consistent
scikit-learn,6,0.745067,0.615385,23,True,Occasional
scikit-learn,7,0.803942,0.692308,18,True,Consistent
scikit-learn,8,0.877312,0.846154,20,True,Consistent
scikit-learn,9,0.8124,0.692308,15,True,Consistent
scikit-learn,10,0.884584,0.846154,23,True,Consistent
rust,1,0.962927,1.0,256,True,Consistent
rust,2,0.973973,1.0,327,True,Consistent
rust,3,0.965631,1.0,444,True,Consistent
rust,4,0.944169,0.923077,396,True,Consistent
rust,5,0.970718,1.0,463,True,Consistent
rust,6,0.967558,1.0,338,True,Consistent
rust,7,0.95316,1.0,352,True,Consistent
rust,8,0.951996,1.0,325,True,Consistent
rust,9,0.95007,0.923077,248,True,Consistent
rust,10,0.941258,1.0,163,True,Consistent
animate.css,1,0.440007,0.384615,19,True,Sparse
animate.css,2,0.519985,0.307692,14,True,Sparse
animate.css,3,0.551812,0.384615,15,True,Sparse
animate.css,4,0.651707,0.461538,13,True,Occasional
animate.css,5,0.338238,0.230769,6,True,Sparse
animate.css,6,0.519378,0.307692,5,True,Sparse
jquery,1,0.608476,0.384615,6,True,Sparse
jquery,2,0.518397,0.307692,6,True,Sparse
jquery,3,0.370483,0.230769,5,True,Sparse
jquery,4,0.771635,0.615385,12,True,Occasional
jquery,6,0.519378,0.307692,5,True,Sparse
jquery,7,0.428317,0.230769,3,True,Sparse
jquery,8,0.681521,0.538462,10,True,Occasional
jquery,9,0.394317,0.230769,6,True,Sparse
jquery,10,0.512437,0.384615,12,True,Sparse
express,1,0.697286,0.538462,76,True,Occasional
express,2,0.581385,0.538462,63,True,Occasional
express,3,0.543255,0.384615,39,True,Sparse
express,4,0.370483,0.230769,5,True,Sparse
express,5,0.411283,0.230769,5,True,Sparse
express,6,0.661997,0.538462,61,True,Occasional
express,7,0.473651,0.307692,9,True,Sparse
express,8,0.441226,0.307692,33,True,Sparse
express,9,0.788954,0.692308,73,True,Occasional
express,10,0.818674,0.769231,23,True,Consistent
three.js,1,0.891937,0.846154,19,True,Consistent
three.js,2,0.806454,0.692308,17,True,Consistent
three.js,3,0.913012,1.0,27,True,Consistent
three.js,4,0.924388,1.0,33,True,Consistent
three.js,5,0.924012,0.923077,30,True,Consistent
three.js,6,0.628108,0.461538,17,True,Occasional
three.js,7,0.484397,0.307692,6,True,Sparse
three.js,8,0.518397,0.307692,6,True,Sparse
three.js,9,0.514976,0.307692,8,True,Sparse
three.js,10,0.540476,0.307692,4,True,Sparse
angular,1,0.926897,0.923077,141,True,Consistent
angular,2,0.966423,1.0,138,True,Consistent
angular,3,0.960144,0.923077,114,True,Consistent
angular,4,0.960093,1.0,133,True,Consistent
angular,5,0.951953,0.923077,159,True,Consistent
angular,6,0.957334,0.923077,141,True,Consistent
angular,7,0.96727,1.0,131,True,Consistent
angular,8,0.957921,0.923077,126,True,Consistent
angular,9,0.96445,0.923077,143,True,Consistent
angular,10,0.963283,0.923077,161,True,Consistent
grafana,1,0.930593,1.0,269,True,Consistent
grafana,2,0.901655,1.0,286,True,Consistent
grafana,3,0.951659,1.0,423,True,Consistent
grafana,4,0.920077,0.923077,113,True,Consistent
grafana,5,0.945206,1.0,102,True,Consistent
grafana,6,0.941752,0.923077,91,True,Consistent
grafana,7,0.96442,1.0,94,True,Consistent
grafana,8,0.884847,1.0,114,True,Consistent
grafana,9,0.934344,0.923077,107,True,Consistent
grafana,10,0.929162,0.923077,32,True,Consistent
netty,1,0.248159,0.153846,3,True,Sparse
netty,2,0.219238,0.153846,4,True,Sparse
netty,4,0.248159,0.153846,3,True,Sparse
netty,5,0.617985,0.461538,19,True,Occasional
netty,6,0.62152,0.461538,11,True,Occasional
netty,7,0.0,0.076923,3,True,Sparse
netty,10,0.248159,0.153846,3,True,Sparse
scrapy,1,0.650095,0.461538,8,True,Occasional
scrapy,2,0.248159,0.153846,3,True,Sparse
scrapy,3,0.248159,0.153846,3,True,Sparse
scrapy,4,0.608476,0.384615,6,True,Sparse
scrapy,5,0.608476,0.384615,6,True,Sparse
scrapy,6,0.428317,0.230769,3,True,Sparse
scrapy,7,0.370483,0.230769,5,True,Sparse
scrapy,8,0.405357,0.230769,4,True,Sparse
scrapy,9,0.447985,0.307692,9,True,Sparse
scrapy,10,0.715169,0.538462,10,True,Occasional
numpy,2,0.604233,0.384615,7,True,Sparse
numpy,3,0.821135,0.769231,18,True,Consistent
numpy,4,0.608036,0.384615,8,True,Sparse
numpy,5,0.639906,0.461538,28,True,Occasional
numpy,6,0.557783,0.461538,14,True,Sparse
numpy,7,0.519378,0.307692,5,True,Sparse
numpy,8,0.428317,0.230769,3,True,Sparse
numpy,9,0.405357,0.230769,4,True,Sparse
numpy,10,0.390931,0.307692,9,True,Sparse
Ghost,1,0.794454,0.615385,17,True,Occasional
Ghost,2,0.690229,0.615385,22,True,Occasional
Ghost,3,0.734271,0.615385,27,True,Occasional
Ghost,4,0.664556,0.461538,12,True,Occasional
Ghost,5,0.652301,0.538462,14,True,Occasional
Ghost,6,0.735569,0.538462,10,True,Occasional
Ghost,7,0.651707,0.461538,13,True,Occasional
Ghost,8,0.608476,0.384615,6,True,Sparse
Ghost,9,0.582536,0.384615,8,True,Sparse
Ghost,10,0.796582,0.615385,9,True,Occasional
ansible,1,0.90015,0.923077,224,True,Consistent
ansible,2,0.899671,1.0,241,True,Consistent
ansible,3,0.818007,0.692308,13,True,Consistent
ansible,4,0.405357,0.230769,4,True,Sparse
ansible,5,0.608036,0.384615,8,True,Sparse
ansible,8,0.604233,0.384615,7,True,Sparse
ansible,10,0.248159,0.153846,3,True,Sparse
bitcoin,1,0.878128,0.769231,21,True,Consistent
bitcoin,2,0.720049,0.615385,14,True,Occasional
bitcoin,3,0.821294,0.692308,14,True,Consistent
bitcoin,4,0.902649,0.923077,24,True,Consistent
bitcoin,5,0.719165,0.538462,13,True,Occasional
bitcoin,6,0.914536,0.923077,20,True,Consistent
bitcoin,7,0.675595,0.461538,8,True,Occasional
bitcoin,8,0.719788,0.538462,11,True,Occasional
bitcoin,9,0.789969,0.692308,15,True,Occasional
bitcoin,10,0.8124,0.692308,15,True,Consistent
airflow,1,0.962633,1.0,78,True,Consistent
airflow,2,0.926064,1.0,106,True,Consistent
airflow,3,0.935872,0.923077,178,True,Consistent
airflow,4,0.958281,1.0,195,True,Consistent
airflow,5,0.957918,1.0,221,True,Consistent
airflow,6,0.955362,0.923077,133,True,Consistent
airflow,7,0.938046,0.923077,85,True,Consistent
airflow,8,0.916769,0.923077,99,True,Consistent
airflow,9,0.93232,0.923077,46,True,Consistent
airflow,10,0.952304,0.923077,58,True,Consistent
FreeRDP,2,0.310459,0.230769,7,True,Sparse
FreeRDP,3,0.405357,0.230769,4,True,Sparse
FreeRDP,4,0.248159,0.153846,3,True,Sparse
FreeRDP,5,0.428317,0.230769,3,True,Sparse
FreeRDP,6,0.428317,0.230769,3,True,Sparse
FreeRDP,8,0.845301,0.769231,18,True,Consistent
FreeRDP,9,0.767153,0.615385,28,True,Occasional
FreeRDP,10,0.842677,0.769231,21,True,Consistent
todomvc,2,0.428317,0.230769,3,True,Sparse
todomvc,3,0.519378,0.307692,5,True,Sparse
nixpkgs,1,0.77457,0.692308,15,True,Occasional
nixpkgs,2,0.735254,0.692308,30,True,Occasional
nixpkgs,3,0.904695,1.0,39,True,Consistent
nixpkgs,4,0.873452,0.769231,49,True,Consistent
nixpkgs,5,0.636015,0.461538,13,True,Occasional
nixpkgs,6,0.796824,0.692308,33,True,Consistent
nixpkgs,7,0.681444,0.538462,14,True,Occasional
nixpkgs,8,0.786496,0.923077,69,True,Consistent
nixpkgs,9,0.859482,0.846154,33,True,Consistent
nixpkgs,10,0.827085,0.769231,39,True,Consistent
markdown-here,1,0.391525,0.230769,7,True,Sparse
markdown-here,9,0.370483,0.230769,5,True,Sparse
flutter,1,0.811035,0.769231,33,True,Consistent
flutter,2,0.895126,0.923077,42,True,Consistent
flutter,3,0.890898,1.0,52,True,Consistent
flutter,4,0.836922,0.769231,33,True,Consistent
flutter,5,0.84009,0.846154,29,True,Consistent
flutter,6,0.791433,0.692308,39,True,Occasional
flutter,7,0.890879,0.846154,31,True,Consistent
flutter,8,0.757909,0.692308,22,True,Occasional
flutter,9,0.932859,0.923077,43,True,Consistent
flutter,10,0.91963,0.923077,52,True,Consistent
go-ethereum,1,0.772968,0.692308,19,True,Occasional
